Removed Pin From Net: NetName=GND Pin=P1-A1
Removed Pin From Net: NetName=NetC5_2 Pin=P1-A2
Removed Pin From Net: NetName=NetP1_3 Pin=P1-A3
Removed Member From Class: ClassName=BoardPower Member=P3
Change Component Footprint: Designator=C2 Old Footprint=0603 New Footprint=C1206
Change Component Footprint: Designator=L1 Old Footprint=0603 New Footprint=IND_BOURNS_SRR12
Change Component Footprint: Designator=D1 Old Footprint=SOD323 New Footprint=SOT-23
Change Component Footprint: Designator=D2 Old Footprint=SOD323 New Footprint=SOT-23
Change Component Footprint: Designator=U2 Old Footprint=TI-N16 New Footprint=N0016A
Change Component Comment : Designator=C2 Old Comment=CAP_1_25 New Comment=Cap
Change component parameters: Designator = "U1"; Footprint = "L7986ATR"; UniqueID = "\LBHYSBYJ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-12083-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Title"; Value = "L7986TATR"; VariantName = "[No Variations]"
Change component parameters: Designator = "P2"; Footprint = "HDR1X14"; UniqueID = "\MYFGSLRN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P3"; Footprint = "HDR1X14"; UniqueID = "\RDESVYJR"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P4"; Footprint = "HDR2X10"; UniqueID = "\MNKKVSIH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P5"; Footprint = "MHDR1X3"; UniqueID = "\ADKCJPTL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
