Removed Pin From Net: NetName=GND Pin=P1-A1
Removed Pin From Net: NetName=NetC5_2 Pin=P1-A2
Removed Pin From Net: NetName=NetP1_3 Pin=P1-A3
Removed Pin From Net: NetName=NetC7_1 Pin=U2-1
Removed Pin From Net: NetName=NetC8_2 Pin=U2-2
Removed Pin From Net: NetName=NetC7_2 Pin=U2-3
Removed Pin From Net: NetName=NetC6_1 Pin=U2-4
Removed Pin From Net: NetName=NetC6_2 Pin=U2-5
Removed Pin From Net: NetName=NetC10_2 Pin=U2-6
Removed Pin From Net: NetName=NetP4_9 Pin=U2-7
Removed Pin From Net: NetName=NetP4_7 Pin=U2-8
Removed Pin From Net: NetName=NetP4_13 Pin=U2-9
Removed Pin From Net: NetName=NetP4_11 Pin=U2-10
Removed Pin From Net: NetName=GND Pin=U2-15
Removed Pin From Net: NetName=NetC9_2 Pin=U2-16
Removed Member From Class: ClassName=BoardPower Member=P3
Removed Member From Class: ClassName=Serial Member=U2
Change component parameters: Designator = "U1"; Footprint = "L7986ATR"; UniqueID = "\LBHYSBYJ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "497-12083-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Title"; Value = "L7986TATR"; VariantName = "[No Variations]"
Change component parameters: Designator = "P2"; Footprint = "HDR1X14"; UniqueID = "\MYFGSLRN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P3"; Footprint = "HDR1X14"; UniqueID = "\RDESVYJR"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P4"; Footprint = "HDR2X10"; UniqueID = "\MNKKVSIH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P5"; Footprint = "MHDR1X3"; UniqueID = "\ADKCJPTL"
Change component parameters. Clean all parameters for all variants
